userid,bus_or_ped,busdestination,inside_or_outside,tripid,totalseats,totalpassengercount,totalfemalecount,emptyseats,location,timestamp,date,time,surveyid,gender,age,companions,educational_attainment,origin,destinations,trip_purpose,modesecurity,pointsecurity,importance_safety,mostsafe,leastsafe,rfid_opinion,mostsafe,leastsafe,selectelement
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T8552043,35,128,28,-88,19.50336 -99.20313,16/07/2013 13:33:31,7/16/13,1:33:31 PM,M8986245,male,18-24,1 to 2,Preparatoria,Atizapan de Zaragoza,Atizapan de Zaragoza,Trabajo,2,1,5 (Muy importante),Metro,Peseros,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T4670730,35,15,1,30,19.51465 -99.20946,11/7/13 13:14,7/11/13,1:14:46 PM,M8870609,male,25-44,None,Preparatoria,Atizapan de Zaragoza,Atizapan de Zaragoza,Trabajo,2,1,5 (Muy importante),,Trolebus,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T0235675,35,27,1,13,19.56271 -99.25084,12/7/13 18:02,7/12/13,6:02:29 PM,F8518072,female,25-44,3 to 4,Preparatoria,Atizapan de Zaragoza,Atizapan de Zaragoza,Recreacion,2,3,5 (Muy importante),Taxi,Peseros,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T0963346,35,19,8,21,19.50328 -99.20444,16/07/2013 14:23:06,7/16/13,2:23:06 PM,M3070515,male,25-44,1 to 2,Licenciatura,Atizapan de Zaragoza,Azcapotzalco,Trabajo,2,2,1 (Muy poco importante),Trolebus,Taxi,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T0963346,35,19,8,21,19.50328 -99.20444,16/07/2013 14:26:17,7/16/13,2:26:17 PM,M0165772,male,25-44,None,Secundaria,Atizapan de Zaragoza,Azcapotzalco,Trabajo,2,5,5 (Muy importante),Taxi,BRT,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T0235675,35,27,1,13,19.53134 -99.22241,12/7/13 18:16,7/12/13,6:16:29 PM,M9270845,male,45-64,None,Preparatoria,Atizapan de Zaragoza,Azcapotzalco,Otro,2,2,4,Metro,Peseros,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T7425853,35,0,0,0,19.56427 -99.25236,13/07/2013 14:19:34,7/13/13,2:19:34 PM,M2015852,male,18-24,None,Preparatoria,Atizapan de Zaragoza,Miguel Hidalgo,Trabajo,2,3,5 (Muy importante),Metro,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T8552043,35,74,19,-34,19.50336 -99.20313,16/07/2013 13:25:36,7/16/13,1:25:36 PM,M2181353,male,18-24,1 to 2,Preparatoria,Atizapan de Zaragoza,Nicolas Romero,Compra,2,5,5 (Muy importante),BRT,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T8552043,35,28,6,12,19.50338 -99.20307,16/07/2013 13:04:37,7/16/13,1:04:37 PM,M2070494,male,25-44,None,Licenciatura,Azcapotzalco,Atizapan de Zaragoza,Trabajo,2,3,5 (Muy importante),BRT,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T8552043,35,28,6,12,19.50338 -99.20307,16/07/2013 12:57:01,7/16/13,12:57:01 PM,M1776939,male,18-24,None,Preparatoria,Azcapotzalco,Atizapan de Zaragoza,Compra,2,4,5 (Muy importante),Taxi,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T4470360,35,45,0,-5,19.52 -99.20956,11/7/13 14:20,7/11/13,2:20:39 PM,M0192836,male,18-24,None,Preparatoria,Azcapotzalco,Atizapan de Zaragoza,Recreacion,2,3,5 (Muy importante),BRT,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T1225543,35,0,0,0,19.50485 -99.20058,12/7/13 16:55,7/12/13,4:55:49 PM,M6884015,male,45-64,1 to 2,Preparatoria,Azcapotzalco,Atizapan de Zaragoza,Compra,2,4,5 (Muy importante),BRT,Taxi,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T1190416,35,45,0,-5,19.51465 -99.20946,11/7/13 14:15,7/11/13,2:15:58 PM,F4240131,female,45-64,1 to 2,Preparatoria,Azcapotzalco,Atizapan de Zaragoza,Trabajo,2,3,5 (Muy importante),Trolebus,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T7860769,35,16,0,29,19.51468 -99.20926,10/7/13 13:19,7/10/13,1:19:50 PM,M2735957,male,65+,None,Maestria y Doctorado,Azcapotzalco,Tlalnepantla de Baz,Trabajo,2,2,5 (Muy importante),BRT,Taxi,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T1190416,35,20,0,20,19.50704 -99.21734,11/7/13 14:13,7/11/13,2:13:14 PM,F7898547,female,25-44,1 to 2,Licenciatura,Azcapotzalco,Tlalnepantla de Baz,Compra,2,2,5 (Muy importante),BRT,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T6741615,35,0,0,0,19.52569 -99.21017,15/07/2013 12:41:05,7/15/13,12:41:05 PM,F1709629,female,45-64,1 to 2,Secundaria,Miguel Hidalgo,Atizapan de Zaragoza,Otro,2,4,5 (Muy importante),Taxi,Peseros,No se,,,
jsmanuel.landin,Bus,Tacuba,Fuera CETRAM,T7367293,35,0,0,0,19.54739 -99.23586,10/7/13 14:23,7/10/13,2:23:02 PM,M9876073,male,25-44,None,Licenciatura,Naucalpan de Juarez,Atizapan de Zaragoza,Estudio,2,3,5 (Muy importante),BRT,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T8552043,35,28,6,12,19.50338 -99.20307,16/07/2013 13:19:40,7/16/13,1:19:40 PM,F5352709,female,18-24,None,Preparatoria,Tlalnepantla de Baz,Atizapan de Zaragoza,Estudio,2,3,5 (Muy importante),Taxi,Peseros,No se,,,
jsmanuel.landin,Bus,Tacuba,Fuera CETRAM,T1712541,35,0,0,0,19.52514 -99.22564,10/7/13 14:37,7/10/13,2:37:36 PM,M7639384,male,45-64,None,Secundaria,Tlalnepantla de Baz,Azcapotzalco,Trabajo,2,2,5 (Muy importante),Metro,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T6741615,35,0,0,0,19.51252 -99.21403,15/07/2013 12:45:16,7/15/13,12:45:16 PM,F3565635,female,18-24,None,Licenciatura,Tlalnepantla de Baz,Tlalnepantla de Baz,Trabajo,2,2,5 (Muy importante),Metro,Peseros,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T5570080,35,0,0,0,19.51461 -99.21765,13/07/2013 14:43:37,7/13/13,2:43:37 PM,F3923626,female,,,,,,,2,1,5 (Muy importante),Taxi,Metro,No se,,,
Kuan,Bus,El Rosario,Dentro CETRAM,T8517174,35,11,4,24,19.53076 -99.22489,7/13/13 18:38,7/13/13,6:38:43 PM,M2414221,male,25-44,1 to 2,Preparatoria,Atizapan de Zaragoza,Chalco,Trabajo,2,2,5 (Muy importante),Metro,Peseros,No se,,,
Kuan,Bus,Mexico Nueva,Fuera CETRAM,T7996562,35,17,8,18,19.52634 -99.21017,7/13/13 17:18,7/13/13,5:18:53 PM,M0985048,male,45-64,None,Preparatoria,Cuauhtemoc,Atizapan de Zaragoza,Compra,2,3,5 (Muy importante),Metro,BRT,No se,,,
maggihellaryfranco,Bus,Mexico Nueva,Fuera CETRAM,T1146616,35,7,0,28,19.51589 -99.21941,12/7/13 13:25,7/12/13,1:25:49 PM,F8283248,female,25-44,None,Secundaria,Azcapotzalco,Atizapan de Zaragoza,Trabajo,2,2,5 (Muy importante),Metro,Peseros,No se,,,
maggihellaryfranco,Bus,Mexico Nueva,Fuera CETRAM,T4655415,35,0,0,0,19.50492 -99.20123,12/7/13 16:32,7/12/13,4:32:11 PM,F0171024,female,0-17,None,Preparatoria,Azcapotzalco,Tlalnepantla de Baz,Estudio,2,4,5 (Muy importante),Metro,BRT,No se,,,
maggihellaryfranco,Bus,Mexico Nueva,Fuera CETRAM,T1146616,35,7,0,28,19.52376 -99.20888,12/7/13 13:16,7/12/13,1:16:21 PM,M6960781,male,25-44,None,Preparatoria,Azcapotzalco,Tlalnepantla de Baz,Trabajo,2,2,5 (Muy importante),Metro,Peseros,2,,,
nely.patlan,Bus,El Rosario,Fuera CETRAM,T7546961,35,14,3,16,19.52634 -99.2213,7/14/13 19:42,7/14/13,7:42:55 PM,F1664252,female,25-44,None,Preparatoria,Atizapan de Zaragoza,Atizapan de Zaragoza,Compra,2,4,5 (Muy importante),Taxi,Peseros,No se,,,
nely.patlan,Bus,Mexico Nueva,Fuera CETRAM,T6218353,35,17,4,13,19.52219 -99.21505,7/14/13 18:25,7/14/13,6:25:05 PM,F6870257,female,45-64,3 to 4,Primaria,Tlalnepantla de Baz,Atizapan de Zaragoza,Otro,2,3,4,Taxi,Metro,No se,,,
salgado.henriquez.bardo,Bus,Mexico Nueva,Fuera CETRAM,T8379703,35,12,7,18,19.5571 -99.25199,7/16/13 17:25,7/16/13,5:25:58 PM,M0292664,male,25-44,None,Preparatoria,Atizapan de Zaragoza,Atizapan de Zaragoza,Trabajo,2,3,5 (Muy importante),Metro,Peseros,No se,,,
salgado.henriquez.bardo,Bus,Mexico Nueva,Fuera CETRAM,T4148602,35,13,6,17,19.52828 -99.19812,7/15/13 17:43,7/15/13,5:43:34 PM,M0912347,female,18-24,None,Preparatoria,Atizapan de Zaragoza,Azcapotzalco,Estudio,2,4,5 (Muy importante),BRT,Peseros,No se,,,
salgado.henriquez.bardo,Bus,Mexico Nueva,Fuera CETRAM,T4148602,35,12,3,18,19.50152 -99.20518,7/15/13 17:59,7/15/13,5:59:41 PM,F3638602,female,45-64,3 to 4,Primaria,Atizapan de Zaragoza,Cuajimalpa de Morelos,Trabajo,2,3,4,Taxi,Peseros,No se,,,
salgado.henriquez.bardo,Bus,Mexico Nueva,Fuera CETRAM,T2080390,35,13,5,17,19.51817 -99.21015,7/16/13 16:47,7/16/13,4:47:18 PM,F3841416,female,18-24,Mas,Preparatoria,Atizapan de Zaragoza,Tlalnepantla de Baz,Trabajo,2,3,5 (Muy importante),Trolebus,Peseros,No se,,,
salgado.henriquez.bardo,Bus,El Rosario,Fuera CETRAM,T3601774,35,0,0,0,19.51691 -99.21156,7/10/13 18:16,7/10/13,6:16:29 PM,F3668888,female,18-24,None,Preparatoria,Tlalnepantla de Baz,Tecamec,Trabajo,2,3,5 (Muy importante),Metro,Peseros,No se,,,
urbunam,Bus,Mexico Nueva,Fuera CETRAM,T5385928,35,17,10,18,19.52001 -99.20956,12/7/13 13:37,7/12/13,1:37:03 PM,F7927268,female,25-44,None,Secundaria,Atizapan de Zaragoza,Atizapan de Zaragoza,Trabajo,2,3,5 (Muy importante),BRT,Taxi,No se,,,
b.borrego77,Van,Mexipuerto,Fuera CETRAM,T9696255,15,6,1,9,19.54866 -99.04497,16/07/2013 14:33:24,7/16/13,2:33:24 PM,F4574748,female,0-17,None,Preparatoria,Azcapotzalco,Tlalnepantla de Baz,Estudio,2,4,5 (Muy importante),Metro,BRT,No se,,,
b.borrego77,Van,Heroes Tecamec,Dentro CETRAM,T5488877,15,11,6,4,19.54198 -99.03599,13/07/2013 16:46:19,7/13/13,4:46:19 PM,M0076767,male,25-44,None,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Otro,2,1,5 (Muy importante),Metro,Peseros,No se,,,
b.borrego77,Van,Heroes Tecamec,Dentro CETRAM,T9627649,15,7,3,8,19.53644 -99.02674,15/07/2013 13:03:46,7/15/13,1:03:46 PM,M6439849,male,25-44,None,Licenciatura,Gustavo A. Madero,Tecamec,Trabajo,2,4,5 (Muy importante),Trolebus,Peseros,3,,,
b.borrego77,Van,Heroes Tecamec,Dentro CETRAM,T5480943,15,0,0,0,19.53404 -99.02719,11/7/13 12:44,7/11/13,12:44:57 PM,F5274738,female,18-24,None,Licenciatura,Otro,Tecamec,Estudio,2,4,5 (Muy importante),BRT,Peseros,No se,,,
b.borrego77,Van,Mexipuerto,Fuera CETRAM,T2360318,15,17,4,-2,19.63875 -99.05035,16/07/2013 13:56:16,7/16/13,1:56:16 PM,M9599123,male,25-44,1 to 2,Preparatoria,Tecamec,Ecatepec de Morelos,Trabajo,2,2,5 (Muy importante),Metro,Peseros,No se,,,
b.borrego77,Van,Mexipuerto,Fuera CETRAM,T2360318,15,18,4,-3,19.61903 -99.04227,16/07/2013 14:00:39,7/16/13,2:00:39 PM,M0283323,male,25-44,None,Preparatoria,Tecamec,Ecatepec de Morelos,Trabajo,2,2,3,BRT,Taxi,No se,,,
b.borrego77,Van,Mexipuerto,Fuera CETRAM,T1240288,15,0,0,0,19.61319 -99.05957,12/7/13 14:00,7/12/13,2:00:45 PM,F8969276,female,45-64,None,Preparatoria,Tecamec,Ecatepec de Morelos,Compra,2,5,5 (Muy importante),Trolebus,Peseros,No se,,,
b.borrego77,Van,Mexipuerto,Fuera CETRAM,T1240288,15,0,0,0,19.61317 -99.04905,12/7/13 13:57,7/12/13,1:57:41 PM,F5594518,female,25-44,1 to 2,Preparatoria,Tecamec,Ecatepec de Morelos,Otro,2,5,5 (Muy importante),Peseros,Taxi,No se,,,
b.borrego77,Van,Mexipuerto,Dentro CETRAM,T3942643,15,0,0,0,19.58644 -99.037,11/7/13 14:49,7/11/13,2:49:49 PM,F5911351,female,0-17,1 to 2,Secundaria,Zumpango,Otro,Compra,2,3,5 (Muy importante),Peseros,Metro,No se,,,
buzoherbert,Van,Mexipuerto,Fuera CETRAM,T3635045,15,0,0,0,19.56601 -99.04724,7/15/13 18:41,7/15/13,6:41:49 PM,F5309921,female,18-24,Mas,Secundaria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,2,2,5 (Muy importante),Metro,Taxi,No se,,,
clara,Van,El Rosario,Dentro CETRAM,T4135315,15,0,0,0,19.50444 -99.20153,7/14/13 15:23,7/14/13,3:23:45 PM,F4354500,female,65+,3 to 4,Preparatoria,Azcapotzalco,Naucalpan de Juarez,Recreacion,2,2,5 (Muy importante),Trolebus,Peseros,No se,,,
clara,Van,El Rosario,Dentro CETRAM,T1276765,15,0,0,0,19.50488 -99.20072,7/14/13 14:47,7/14/13,2:47:45 PM,F0204915,female,25-44,1 to 2,Preparatoria,,Naucalpan de Juarez,Trabajo,2,5,5 (Muy importante),Metro,Peseros,No se,,,
edgardsgn,Van,Mexico Nueva,Dentro CETRAM,T9784818,15,5,3,10,19.56596 -99.26062,12/7/13 13:41,7/12/13,1:41:14 PM,F8179550,female,25-44,1 to 2,Primaria,Atizapan de Zaragoza,Atizapan de Zaragoza,Compra,2,3,2,BRT,Taxi,No se,,,
edgardsgn,Van,El Rosario,Dentro CETRAM,T5517633,15,0,0,0,19.50493 -99.20073,16/07/2013 18:10:55,7/16/13,6:10:55 PM,M7223736,male,45-64,None,Preparatoria,Atizapan de Zaragoza,Azcapotzalco,Trabajo,2,3,5 (Muy importante),Metro,Trolebus,No se,,,
edgardsgn,Van,El Rosario,Dentro CETRAM,T4077123,15,0,0,0,19.50494 -99.2007,16/07/2013 17:23:07,7/16/13,5:23:07 PM,F5572200,female,45-64,None,Primaria,Atizapan de Zaragoza,Azcapotzalco,Trabajo,2,1,5 (Muy importante),Metro,Peseros,No se,,,
edgardsgn,Van,El Rosario,Dentro CETRAM,T7608815,15,6,3,14,19.50485 -99.20065,14/07/2013 13:37:08,7/14/13,1:37:08 PM,M9120630,male,65+,1 to 2,Secundaria,Azcapotzalco,Atizapan de Zaragoza,Compra,2,2,5 (Muy importante),Taxi,Peseros,No se,,,
edgardsgn,Van,El Rosario,Dentro CETRAM,T0982169,15,0,0,0,19.50501 -99.20065,16/07/2013 18:55:05,7/16/13,6:55:05 PM,M7666985,male,25-44,None,Licenciatura,Azcapotzalco,Otro,Trabajo,2,4,5 (Muy importante),BRT,Peseros,No se,,,
edgardsgn,Van,Mexico Nueva,Dentro CETRAM,T9784818,15,0,0,0,19.519 -99.20929,12/7/13 12:57,7/12/13,12:57:03 PM,M9330285,male,45-64,None,Licenciatura,Coyoacan,Atizapan de Zaragoza,Trabajo,2,4,5 (Muy importante),Metro,Peseros,3,,,
edgardsgn,Van,El Rosario,Fuera CETRAM,T9316341,15,10,4,0,19.55569 -99.23887,10/7/13 14:20,7/10/13,2:20:08 PM,F1649626,female,25-44,None,Licenciatura,Nicolas Romero,Tlalnepantla de Baz,Trabajo,2,4,5 (Muy importante),Peseros,Metro,No se,,,
edgardsgn,Van,El Rosario,Dentro CETRAM,T5517633,15,0,0,0,19.50489 -99.20073,16/07/2013 18:18:55,7/16/13,6:18:55 PM,M4109845,male,25-44,None,Preparatoria,Tultitlan,Azcapotzalco,Trabajo,2,5,4,Trolebus,Peseros,No se,,,
edgardsgn,Van,El Rosario,Dentro CETRAM,T5517633,15,0,0,0,19.50487 -99.20073,16/07/2013 18:17:52,7/16/13,6:17:52 PM,M0419674,male,25-44,None,Preparatoria,Tultitlan,Azcapotzalco,Trabajo,2,5,4,Trolebus,Peseros,No se,,,
fracwalo,Van,Mexipuerto,Fuera CETRAM,T2404193,15,6,1,9,19.6198 -99.07097,7/14/13 18:05,7/14/13,6:05:09 PM,M5891642,male,0-17,1 to 2,Preparatoria,Coacalco de Berriozal,Ecatepec de Morelos,Recreacion,2,3,5 (Muy importante),Metro,Peseros,3,,,
fracwalo,Van,Heroes Tecamec,Fuera CETRAM,T7670473,15,8,5,7,19.61719 -99.02351,7/12/13 17:41,7/12/13,5:41:22 PM,F7532187,female,25-44,1 to 2,Maestria y Doctorado,Ecatepec de Morelos,Ecatepec de Morelos,Otro,2,1,5 (Muy importante),BRT,Peseros,3,,,
fracwalo,Van,Heroes Tecamec,Fuera CETRAM,T7670473,15,8,5,7,19.61348 -99.03404,7/12/13 17:43,7/12/13,5:43:27 PM,M4398090,male,45-64,None,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Recreacion,2,2,5 (Muy importante),Taxi,Peseros,3,,,
fracwalo,Van,Heroes Tecamec,Fuera CETRAM,T7670473,15,8,5,7,19.58939 -99.03803,7/12/13 18:07,7/12/13,6:07:01 PM,M4206830,male,25-44,1 to 2,Licenciatura,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,2,1,5 (Muy importante),BRT,Peseros,1,,,
fracwalo,Van,Mexipuerto,Dentro CETRAM,T3851965,15,8,3,7,19.60823 -99.05557,7/15/13 18:04,7/15/13,6:04:45 PM,M8572739,male,25-44,None,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,2,1,5 (Muy importante),BRT,Peseros,3,,,
fracwalo,Van,Mexipuerto,Dentro CETRAM,T3851965,15,9,4,6,19.59649 -99.04299,7/15/13 18:13,7/15/13,6:13:15 PM,F3413941,female,18-24,None,Licenciatura,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,2,2,5 (Muy importante),Metro,Peseros,3,,,
fracwalo,Van,Mexipuerto,Fuera CETRAM,T3735365,15,4,0,11,19.54911 -99.04714,7/10/13 18:14,7/10/13,6:14:30 PM,F4662972,female,45-64,None,Secundaria,Ecatepec de Morelos,Ecatepec de Morelos,Otro,2,2,4,Taxi,Peseros,3,,,
fracwalo,Van,Heroes Tecamec,Dentro CETRAM,T1697909,15,4,2,11,19.53627 -99.02455,7/15/13 16:40,7/15/13,4:40:08 PM,M1627888,male,45-64,None,Licenciatura,Ecatepec de Morelos,Tecamec,Compra,2,1,5 (Muy importante),Metro,Taxi,5,,,
fracwalo,Van,Mexipuerto,Fuera CETRAM,T3352205,15,11,5,4,19.62935 -99.04965,7/16/13 17:39,7/16/13,5:39:30 PM,F1495183,female,18-24,None,Secundaria,Tecamec,Ecatepec de Morelos,Otro,2,2,4,Peseros,,3,,,
gabrielghv1,Van,Mexico Nueva,Dentro CETRAM,T6319889,15,10,3,5,19.52246 -99.22755,12/7/13 17:46,7/12/13,5:46:59 PM,F0117027,female,18-24,None,Licenciatura,Atizapan de Zaragoza,Atizapan de Zaragoza,Estudio,2,4,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Van,El Rosario,Dentro CETRAM,T8966906,15,10,4,5,19.55244 -99.24121,12/7/13 18:38,7/12/13,6:38:09 PM,M3199441,male,18-24,1 to 2,Preparatoria,Atizapan de Zaragoza,Atizapan de Zaragoza,Trabajo,2,4,5 (Muy importante),Taxi,Peseros,No se,,,
gabrielghv1,Van,El Rosario,Dentro CETRAM,T8966906,15,10,4,5,19.55021 -99.23599,12/7/13 18:40,7/12/13,6:40:44 PM,M7343491,male,18-24,None,Licenciatura,Atizapan de Zaragoza,Azcapotzalco,Trabajo,2,3,5 (Muy importante),Taxi,Peseros,No se,,,
homer.324.er,Van,Mexico Nueva,Dentro CETRAM,T2109198,15,0,0,0,19.50488 -99.20086,16/07/2013 16:23:58,7/16/13,4:23:58 PM,F9898988,male,25-44,None,Licenciatura,Naucalpan de Juarez,Atizapan de Zaragoza,Estudio,2,3,5 (Muy importante),BRT,Peseros,No se,,,
japhet.sh,Van,Heroes Tecamec,Dentro CETRAM,T6443206,15,14,8,1,19.55434 -99.05087,7/14/13 13:26,7/14/13,1:26:15 PM,M5575116,male,25-44,None,Preparatoria,Ecatepec de Morelos,Tecamec,Recreacion,2,1,5 (Muy importante),BRT,Peseros,5,,,
Kuan,Van,Heroes Tecamec,Fuera CETRAM,T5649447,15,7,7,8,19.4421 -99.20442,7/11/13 16:31,7/11/13,4:31:00 PM,F8403709,female,25-44,None,Licenciatura,Ecatepec de Morelos,Coacalco de Berriozal,Recreacion,2,1,5 (Muy importante),Metro,Peseros,4,,,
lqchen,Van,Mexipuerto,Fuera CETRAM,T3547599,15,6,4,9,19.61926 -99.02632,7/13/13 17:56,7/13/13,5:56:32 PM,F3889327,female,18-24,None,Preparatoria,Tecamec,Ecatepec de Morelos,Otro,2,1,5 (Muy importante),BRT,Peseros,4,,,
maggihellaryfranco,Van,El Rosario,Dentro CETRAM,T2681963,15,3,0,12,19.50155 -99.20325,13/07/2013 14:23:14,7/13/13,2:23:14 PM,M0943877,male,25-44,None,Secundaria,Atizapan de Zaragoza,Azcapotzalco,Trabajo,2,3,5 (Muy importante),Metro,Peseros,No se,,,
maggihellaryfranco,Van,Heroes Tecamec,Dentro CETRAM,T0705928,15,0,0,0,19.56919 -99.04381,15/07/2013 15:26:20,7/15/13,3:26:20 PM,M0397809,male,25-44,None,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,2,4,5 (Muy importante),Metro,Peseros,3,,,
maggihellaryfranco,Van,Heroes Tecamec,Dentro CETRAM,T9877527,15,0,0,0,19.62225 -99.02463,15/07/2013 13:48:00,7/15/13,1:48:00 PM,F8839358,female,18-24,None,Preparatoria,Ecatepec de Morelos,Tecamec,Trabajo,2,2,5 (Muy importante),Trolebus,BRT,3,,,
maggihellaryfranco,Van,Heroes Tecamec,Fuera CETRAM,T2004020,15,0,0,0,19.57736 -99.0425,16/07/2013 13:05:05,7/16/13,1:05:05 PM,M4786686,male,0-17,1 to 2,Primaria,Ecatepec de Morelos,Tecamec,Otro,2,1,5 (Muy importante),Metro,Peseros,No se,,,
maggihellaryfranco,Van,Mexipuerto,Fuera CETRAM,T9933751,15,0,0,0,19.62035 -99.03797,16/07/2013 14:03:17,7/16/13,2:03:17 PM,M3406099,male,25-44,None,Preparatoria,Tecamec,Ecatepec de Morelos,Otro,2,2,5 (Muy importante),Metro,Peseros,No se,,,
maggihellaryfranco,Van,Heroes Tecamec,Fuera CETRAM,T7132446,15,0,0,0,19.63256 -99.04249,16/07/2013 13:30:03,7/16/13,1:30:03 PM,F4927682,female,0-17,None,Preparatoria,Tecamec,Tecamec,Estudio,2,5,5 (Muy importante),Taxi,Peseros,No se,,,
nely.patlan,Van,Mexico Nueva,Dentro CETRAM,T9981793,15,11,3,4,19.50596 -99.2155,7/13/13 17:33,7/13/13,5:33:08 PM,F8134625,female,65+,None,Preparatoria,Azcapotzalco,Atizapan de Zaragoza,Recreacion,2,2,5 (Muy importante),Metro,Peseros,No se,,,
nely.patlan,Van,Mexico Nueva,Dentro CETRAM,T9981793,15,12,3,3,19.4421 -99.20442,7/13/13 17:30,7/13/13,5:30:06 PM,M5672256,male,45-64,None,Licenciatura,Gustavo A. Madero,Tlalnepantla de Baz,Recreacion,2,2,5 (Muy importante),Metro,Peseros,No se,,,
nely.patlan,Van,Mexico Nueva,Dentro CETRAM,T7197203,15,13,0,2,19.5101 -99.20986,7/12/13 17:45,7/12/13,5:45:31 PM,F6747411,female,18-24,1 to 2,Preparatoria,Miguel Hidalgo,Atizapan de Zaragoza,Recreacion,2,3,4,Metro,Peseros,No se,,,
nuriabct,Van,Mexipuerto,Dentro CETRAM,T3892172,15,0,0,0,19.54421 -99.03943,7/12/13 18:34,7/12/13,6:34:00 PM,F1282678,female,45-64,None,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,2,3,5 (Muy importante),Metro,Peseros,3,,,
nuriabct,Van,Mexipuerto,Dentro CETRAM,T8575531,15,10,3,5,19.56944 -99.04337,7/10/13 17:49,7/10/13,5:49:07 PM,M7126880,male,18-24,None,Preparatoria,Ecatepec de Morelos,Tecamec,Trabajo,2,1,5 (Muy importante),Taxi,Peseros,3,,,
nuriabct,Van,Mexipuerto,Fuera CETRAM,T1962397,15,0,0,0,19.53642 -99.02553,7/11/13 17:19,7/11/13,5:19:50 PM,F3272698,female,0-17,1 to 2,Primaria,Nezahualcoyotl,Tecamec,Otro,2,2,2,Taxi,Peseros,4,,,
nuriabct,Van,Mexipuerto,Dentro CETRAM,T3892172,15,0,0,0,19.63693 -99.03158,7/12/13 17:46,7/12/13,5:46:09 PM,F6786162,female,18-24,None,Preparatoria,Tecamec,Ecatepec de Morelos,Trabajo,2,2,5 (Muy importante),Metro,Peseros,4,,,
nuriabct,Van,Mexipuerto,Dentro CETRAM,T3892172,15,0,0,0,19.44199 -99.20441,7/12/13 18:04,7/12/13,6:04:07 PM,M3059933,male,0-17,None,Secundaria,Tecamec,Ecatepec de Morelos,Otro,2,2,5 (Muy importante),Taxi,Peseros,3,,,
nuriabct,Van,Mexipuerto,Dentro CETRAM,T0757090,15,11,0,4,19.59544 -99.038,7/10/13 18:54,7/10/13,6:54:16 PM,M6866340,male,25-44,None,Licenciatura,Tecamec,Ecatepec de Morelos,Trabajo,2,3,5 (Muy importante),BRT,Peseros,5,,,
pakenzio,Van,Mexipuerto,Fuera CETRAM,T2403505,15,9,4,6,19.62312 -99.02383,7/12/13 14:00,7/12/13,2:00:56 PM,M7870687,male,45-64,1 to 2,Secundaria,Ecatepec de Morelos,Ecatepec de Morelos,Compra,2,3,4,BRT,Taxi,No se,,,
salgado.henriquez.bardo,Van,El Rosario,Fuera CETRAM,T5231886,15,2,1,13,19.55414 -99.24387,7/13/13 19:16,7/13/13,7:16:32 PM,F4235808,female,25-44,None,Primaria,,La Paz,Trabajo,2,4,5 (Muy importante),Metro,Metro,No se,,,
urb.luz.pm,Van,Mexipuerto,Dentro CETRAM,T0964344,15,0,0,0,19.59989 -99.04606,7/14/13 16:56,7/14/13,4:56:59 PM,M4967750,male,18-24,1 to 2,Secundaria,Ecatepec de Morelos,Ecatepec de Morelos,Otro,2,3,2,Taxi,Peseros,No se,,,
